Day,L2,L3,L4,L5
2/1/2014,0,0,0,0
2/2/2014,0,0,0,0
2/3/2014,56,0,0,0
2/4/2014,5,0,0,0
2/5/2014,1,0,0,0
2/6/2014,0,0,0,0
2/7/2014,0,0,0,0
2/8/2014,3,0,0,0
2/9/2014,5,0,0,0
2/10/2014,2,45,0,0
2/11/2014,0,3,0,0
2/12/2014,1,6,0,0
2/13/2014,0,1,0,0
2/14/2014,0,0,0,0
2/15/2014,1,3,0,0
2/16/2014,0,5,0,0
2/17/2014,1,1,0,1
2/18/2014,1,0,0,0
2/19/2014,1,0,0,0
2/20/2014,4,5,30,0
2/21/2014,1,0,3,0
2/22/2014,2,2,4,0
2/23/2014,4,3,6,0
2/24/2014,0,1,5,44
2/25/2014,3,7,5,6
2/26/2014,4,3,1,0
2/27/2014,4,5,2,0
2/28/2014,2,5,0,1
3/1/2014,5,12,8,8
3/2/2014,1,5,8,13
3/3/2014,0,0,0,4
3/4/2014,0,0,0,2
